sample_0_full,sample_1_full,sample_2_full,sample_3_full,sample_4_full,sample_5_full,sample_6_full,sample_7_full,sample_8_full,sample_9_full,sample_10_full,sample_11_full,sample_12_full,sample_13_full,sample_14_full,sample_15_full,sample_16_full,sample_17_full,sample_18_full,sample_19_full
11.79,13.63,11.31,10.58,15.07,14.14,14.56,11.7,12.87,13.25,12.26,14.41,14.73,10.56,8.8,13.67,10.09,12.41,11.17,13.61
12.34,13.93,11.7,10.82,15.45,14.55,14.89,12.26,13.41,13.63,12.48,15.01,15.06,10.83,9.02,14.17,10.64,13.01,11.62,13.8
12.81,15.09,12.62,11.64,16.58,15.51,16.32,12.91,14.21,14.64,13.42,15.69,16.36,11.51,9.68,15.31,11.05,13.62,12.1,15.3
12.58,15.07,12.56,11.45,16.58,15.44,16.48,12.79,14.15,14.58,13.25,15.54,16.44,11.24,9.39,15.4,10.81,13.5,11.81,15.42
3.36,3.16,1.47,2.83,4.11,3.98,1.98,2.02,2.46,3.1,4.02,4.51,3.03,3.56,2.34,1.48,2.05,2.6,3.72,1.92
3.22,3.02,1.33,2.69,3.96,3.83,1.83,1.88,2.32,2.96,3.87,4.36,2.89,3.41,2.19,1.34,1.91,2.46,3.57,1.78
3.22,3.02,1.33,2.68,3.96,3.83,1.83,1.88,2.32,2.96,3.87,4.36,2.89,3.41,2.19,1.33,1.91,2.46,3.57,1.78
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.15,2.95,1.26,2.61,3.89,3.75,1.76,1.81,2.25,2.89,3.79,4.29,2.82,3.34,2.12,1.27,1.84,2.39,3.5,1.71
3.16,2.96,1.27,2.63,3.9,3.77,1.78,1.82,2.26,2.9,3.81,4.3,2.83,3.35,2.14,1.28,1.85,2.4,3.51,1.72
6.21,5.88,4.26,4.79,7.1,6.87,5.25,5.14,5.69,5.93,6.04,7.73,6.1,5.41,3.95,5.01,4.79,5.85,6.11,4.67
5.99,6.85,4.8,5.55,7.93,7.44,6.43,5.11,5.87,6.59,6.96,7.7,7.16,5.97,4.58,5.6,4.52,5.71,6.09,6.19
8.85,8.93,7.15,7.17,10.31,9.9,8.78,8.06,8.78,8.92,8.56,10.77,9.44,7.64,6.02,8.49,7.32,8.82,8.5,7.94
12.73,14.54,12.22,11.22,16.08,15.11,15.66,12.74,13.95,14.19,12.94,15.5,15.76,11.18,9.32,14.85,10.98,13.49,11.96,14.52
10.93,13.97,11.26,10.73,15.25,14.07,15.14,11.06,12.43,13.27,12.54,13.71,15.17,10.5,8.83,13.67,9.21,11.65,10.5,14.54
11.56,13.39,11.08,10.35,14.85,13.9,14.32,11.47,12.65,13.02,12.04,14.19,14.5,10.34,8.58,13.44,9.86,12.19,10.94,13.37
12.29,13.88,11.64,10.76,15.39,14.5,14.84,12.2,13.35,13.57,12.43,14.94,15.01,10.78,8.97,14.09,10.58,12.95,11.57,13.75
11.81,13.65,11.33,10.6,15.09,14.16,14.58,11.72,12.9,13.26,12.28,14.43,14.75,10.58,8.82,13.69,10.11,12.43,11.18,13.63
12.37,13.95,11.72,10.83,15.47,14.58,14.91,12.27,13.43,13.64,12.5,15.01,15.08,10.85,9.04,14.19,10.67,13.02,11.64,13.82
12.87,15.15,12.68,11.71,16.64,15.57,16.38,12.99,14.28,14.69,13.48,15.73,16.43,11.57,9.75,15.37,11.13,13.7,12.15,15.36
12.59,15.09,12.57,11.46,16.59,15.45,16.49,12.81,14.17,14.59,13.26,15.55,16.46,11.25,9.4,15.42,10.82,13.52,11.82,15.44
3.37,3.17,1.48,2.84,4.12,3.98,1.99,2.03,2.47,3.11,4.02,4.52,3.04,3.57,2.35,1.48,2.06,2.61,3.73,1.93
3.23,3.03,1.34,2.7,3.97,3.84,1.84,1.89,2.33,2.97,3.88,4.37,2.9,3.42,2.2,1.35,1.92,2.47,3.58,1.79
3.23,3.03,1.34,2.69,3.97,3.83,1.84,1.88,2.33,2.97,3.87,4.37,2.9,3.42,2.2,1.34,1.91,2.47,3.58,1.79
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
